RowNumber,CustomerId,Surname,Gender,Age,Province,City,AreaType,EducationLevel,EmploymentType,PreferredLanguage,Bank,AccountType,Tenure,CreditScore,CreditRating,CreditBureau,NumOfProducts,ProductName,HasSavingsAccount,HasChequeAccount,HasCreditCard,HasPersonalLoan,HasHomeLoan,HasVehicleFinance,HasInvestmentAccount,HasPremiumBanking,HasCreditCard_Flag,Balance_ZAR,AnnualSalary_ZAR,MonthlySalary_ZAR,SalaryPaymentMethod,FinancialWellnessScore,IsActiveMember,UsesMobileBanking,UsesInternetBanking,MonthlyBranchVisits,MonthlyATMTransactions,CustomerServiceCalls_12M,Complaints_12M,PreferredCommChannel,Churned,Geography_Original
45,15684171,Bianchi,Female,61,North West,Rustenburg,Urban,Postgraduate,Unemployed,isiZulu,Capitec,Cheque,5,660,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,3196587.76,3245937.0,270494.75,Direct Deposit,7.3,1,1,1,1,9,1,0,SMS,0,Spain
46,15754849,Tyler,Female,32,Limpopo,Tzaneen,Urban,Matric,Employed,English,Capitec,Savings,4,776,Very Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,1,0,1,2243133.16,2593607.93,216133.99,Direct Deposit,6.9,1,1,1,1,6,3,0,SMS,0,Germany
47,15602280,Martin,Female,27,Eastern Cape,Uitenhage,Suburban,Matric,Self-Employed,English,Capitec,Pensioner,9,829,Excellent,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,1,2296936.24,2454018.31,204501.53,Direct Deposit,7.0,1,1,0,1,7,0,0,WhatsApp,1,Germany
48,15771573,Okagbue,Female,39,Limpopo,Mokopane,Suburban,Degree,Employed,siSwati,Standard Bank,Prestige,9,637,Fair,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,1,2825797.9,2411267.4,200938.95,Direct Deposit,6.4,1,1,0,1,7,2,0,Email,1,Germany
49,15766205,Yin,Male,38,Limpopo,Mokopane,Urban,Matric,Employed,Tshivenda,Absa,Cheque,2,550,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,0,2119523.29,1863001.66,155250.14,Direct Deposit,5.2,1,1,1,2,11,2,0,SMS,0,Germany
50,15771873,Buccho,Female,37,Eastern Cape,Mthatha,Urban,Matric,Self-Employed,isiXhosa,Absa,Cheque,2,776,Very Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,2127269.01,3979031.96,331586.0,Direct Deposit,7.8,0,1,0,3,4,3,1,Phone Call,0,Germany
51,15616550,Chidiebele,Male,44,Mpumalanga,Witbank,Urban,Postgraduate,Student,Sepedi,Standard Bank,Savings,10,698,Good,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,1,0,1,2385449.08,4060212.78,338351.06,Cash,7.6,0,1,1,2,5,2,1,Phone Call,0,Germany
52,15768193,Trevisani,Male,36,Eastern Cape,Mthatha,Suburban,Diploma,Student,isiXhosa,FNB,Savings,5,585,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,1,0,0,2994044.88,1771703.68,147641.97,Direct Deposit,5.8,0,0,1,1,9,1,0,App Notification,0,Germany
53,15683553,O'Brien,Female,33,Western Cape,Stellenbosch,Suburban,Diploma,Student,Sepedi,Capitec,Savings,5,788,Very Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,1,0,0,0,0.0,2398052.9,199837.74,Direct Deposit,5.5,0,1,1,1,6,2,0,Email,0,France
54,15702298,Parkhill,Male,41,Eastern Cape,Uitenhage,Urban,Matric,Employed,Afrikaans,FNB,Cheque,8,655,Fair,TransUnion,1,Savings Account,1,1,0,0,0,1,0,0,0,2574020.39,3362839.27,280236.61,Direct Deposit,7.0,0,0,0,2,5,1,1,SMS,1,Germany
55,15569590,Yoo,Male,42,Eastern Cape,Port Elizabeth,Urban,Postgraduate,Employed,isiZulu,Nedbank,Cheque,1,601,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2019162.26,820302.58,68358.55,Direct Deposit,4.6,0,1,1,1,5,5,1,App Notification,1,Germany
56,15760861,Phillipps,Male,43,Gauteng,Midrand,Suburban,Matric,Self-Employed,Sepedi,FNB,Cheque,1,619,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2566844.36,2324915.04,193742.92,Direct Deposit,6.1,1,1,1,2,6,1,1,App Notification,0,France
57,15630053,Tsao,Male,45,KwaZulu-Natal,Empangeni,Urban,Matric,Self-Employed,Sesotho,Capitec,Prestige,5,656,Fair,TransUnion,1,Savings Account,1,1,0,0,1,0,1,0,1,2621220.2,1785705.18,148808.76,Cash,5.9,0,0,1,1,9,4,1,SMS,0,France
58,15647091,Endrizzi,Male,19,Limpopo,Musina,Urban,Diploma,Employed,English,Absa,Cheque,0,725,Good,TransUnion,1,Savings Account,1,1,0,0,0,1,0,0,0,1555708.1,935081.88,77923.49,Direct Deposit,5.0,0,1,1,2,9,6,0,Phone Call,0,Germany
59,15623944,T'ien,Female,66,North West,Potchefstroom,Urban,No Matric,Self-Employed,Afrikaans,Standard Bank,Cheque,4,511,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,0.0,33683.75,2806.98,Cash,2.4,0,1,1,1,6,0,3,Email,1,Spain
60,15804771,Velazquez,Male,51,Western Cape,George,Urban,Matric,Self-Employed,isiXhosa,Absa,Prestige,4,614,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,834061.36,958893.24,79907.77,Direct Deposit,4.1,1,1,1,2,6,2,0,Phone Call,0,France
61,15651280,Hunter,Male,35,Mpumalanga,Standerton,Rural,Matric,Pensioner,isiZulu,Standard Bank,Cheque,5,742,Very Good,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,0,2805568.5,1732446.18,144370.51,Direct Deposit,6.4,0,1,1,2,10,0,0,Email,0,Germany
62,15773469,Clark,Female,27,Eastern Cape,Uitenhage,Urban,Diploma,Employed,Setswana,Nedbank,Cheque,9,687,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,3122742.04,2593143.81,216095.32,Direct Deposit,7.0,0,0,1,2,9,3,0,WhatsApp,0,Germany
63,15702014,Jeffrey,Male,33,Northern Cape,Springbok,Suburban,Matric,Self-Employed,Afrikaans,Capitec,Cheque,1,555,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,1149736.14,3665361.66,305446.8,Direct Deposit,6.0,0,1,0,1,10,2,1,SMS,0,Spain
64,15751208,Pirozzi,Male,56,North West,Klerksdorp,Suburban,Matric,Employed,isiZulu,Standard Bank,Cheque,8,684,Good,TransUnion,1,Savings Account,1,1,0,0,0,1,1,0,1,1613496.78,2037666.38,169805.53,Cheque,5.7,1,1,1,2,7,1,1,App Notification,0,Spain
65,15592461,Jackson,Male,26,Mpumalanga,Middelburg,Rural,Diploma,Employed,Setswana,Standard Bank,Savings,4,603,Fair,TransUnion,1,Savings Account,1,0,0,0,0,1,0,0,1,2237910.58,1903233.74,158602.81,Direct Deposit,5.5,1,1,0,2,9,1,2,App Notification,0,Germany
66,15789484,Hammond,Female,36,Eastern Cape,Grahamstown,Urban,No Matric,Employed,isiNdebele,Capitec,Cheque,6,751,Very Good,TransUnion,2,Savings + Credit Card,1,0,1,0,0,1,0,0,1,3481544.93,569046.38,47420.53,Direct Deposit,6.0,1,1,0,0,4,3,1,Email,0,Germany
67,15696061,Brownless,Female,34,Eastern Cape,Port Elizabeth,Suburban,Postgraduate,Employed,isiZulu,FNB,Cheque,1,581,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2083477.32,2263845.96,188653.83,Direct Deposit,5.6,0,1,1,3,10,4,1,Email,0,Germany
68,15641582,Chibugo,Male,43,Eastern Cape,Mthatha,Suburban,Postgraduate,Employed,English,FNB,Savings,10,735,Good,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,1,2525190.2,4031802.24,335983.52,Direct Deposit,7.9,1,1,0,0,6,1,0,SMS,0,Germany
69,15638424,Glauert,Female,35,Limpopo,Thohoyandou,Urban,Postgraduate,Employed,isiZulu,Standard Bank,Cheque,5,661,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,3089873.36,2329965.43,194163.79,Direct Deposit,6.6,1,1,1,0,6,2,0,Phone Call,0,Germany
70,15755648,Pisano,Female,21,Gauteng,Sandton,Urban,Matric,Pensioner,Sepedi,Standard Bank,Prestige,8,675,Good,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2016651.83,373161.5,31096.79,Direct Deposit,4.6,0,1,1,0,14,3,0,SMS,0,France
71,15703793,Konovalova,Male,58,Eastern Cape,Mthatha,Suburban,Diploma,Employed,Afrikaans,Capitec,Cheque,2,738,Good,TransUnion,4,Premium Banking Package,1,1,1,1,0,0,0,1,1,2741781.52,581664.13,48472.01,Direct Deposit,5.5,0,0,0,1,7,0,1,WhatsApp,1,Germany
72,15620344,McKee,Male,29,Gauteng,Centurion,Urban,Diploma,Unemployed,Xitsonga,Capitec,Savings,6,813,Excellent,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,0.0,696054.34,58004.53,Direct Deposit,4.3,0,1,1,2,12,4,0,SMS,0,France
73,15812518,Palermo,Female,37,Free State,Welkom,Urban,Matric,Pensioner,Sesotho,Standard Bank,Savings,0,657,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,0,3353947.19,906172.78,75514.4,Direct Deposit,5.7,1,0,1,2,6,5,1,SMS,0,Spain
74,15779052,Ballard,Female,25,Eastern Cape,Mthatha,Urban,Diploma,Employed,Tshivenda,FNB,Cheque,5,604,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,3234507.22,1197749.6,99812.47,Direct Deposit,5.6,1,1,1,4,10,1,0,WhatsApp,0,Germany
75,15770811,Wallace,Male,36,Gauteng,Johannesburg,Urban,Matric,Employed,English,FNB,Student,9,519,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,1,0,0,0,0,0.0,2984029.2,248669.1,Direct Deposit,4.6,1,1,1,3,8,2,2,Email,0,France
76,15780961,Cavenagh,Female,21,Gauteng,Johannesburg,Urban,Diploma,Self-Employed,English,Absa,Cheque,1,735,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,1,0,0,1,3663722.9,458954.0,38246.17,Direct Deposit,5.9,0,1,1,2,8,1,1,Email,0,France
77,15614049,Hu,Male,55,Gauteng,Midrand,Rural,No Matric,Employed,Xitsonga,Capitec,Savings,8,664,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,2852813.62,237734.47,Direct Deposit,5.2,1,1,1,2,5,4,1,SMS,0,France
78,15662085,Read,Female,32,Gauteng,Pretoria,Suburban,Matric,Employed,isiZulu,Capitec,Cheque,9,678,Good,TransUnion,1,Savings Account,1,0,0,0,0,0,1,0,1,0.0,3038318.12,253193.18,Direct Deposit,5.4,1,1,1,2,11,1,0,WhatsApp,0,France
79,15575185,Bushell,Male,33,Free State,Sasolburg,Urban,No Matric,Self-Employed,Sepedi,FNB,Cheque,5,757,Very Good,TransUnion,1,Savings Account,1,1,0,0,0,1,0,0,0,1583691.01,3981912.42,331826.03,Direct Deposit,7.4,1,0,0,0,7,0,1,SMS,0,Spain
80,15803136,Postle,Female,41,Eastern Cape,Port Elizabeth,Suburban,No Matric,Employed,Sesotho,Nedbank,Cheque,10,416,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,2504888.03,2015183.0,167931.92,Direct Deposit,4.9,0,0,1,1,6,2,0,Email,0,Germany
81,15706021,Buley,Female,34,Gauteng,Pretoria,Suburban,Degree,Unemployed,siSwati,Standard Bank,Cheque,1,665,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,1981233.57,3513980.03,292831.67,Direct Deposit,6.9,0,0,0,0,4,0,1,App Notification,0,France
82,15663706,Leonard,Female,32,Western Cape,Worcester,Rural,Diploma,Self-Employed,English,FNB,Savings,2,777,Very Good,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,1,0.0,2797392.9,233116.08,Direct Deposit,5.7,0,1,1,1,7,2,0,Email,1,France
83,15641732,Mills,Female,36,Gauteng,Johannesburg,Suburban,Diploma,Unemployed,isiZulu,FNB,Cheque,3,543,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,0.0,533401.6,44450.13,Direct Deposit,2.9,0,1,1,1,11,2,1,Phone Call,0,France
84,15701164,Onyeorulu,Female,34,Gauteng,Pretoria,Suburban,Degree,Employed,Afrikaans,Standard Bank,Cheque,4,506,Poor,TransUnion,1,Savings Account,1,0,0,0,0,0,1,0,1,1851306.21,3264323.44,272026.95,Cheque,5.8,1,0,1,4,7,1,2,App Notification,0,France
85,15738751,Beit,Female,46,Western Cape,Stellenbosch,Rural,Matric,Employed,isiZulu,Standard Bank,Savings,4,493,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,1,0,0,1,0.0,39107.03,3258.92,Direct Deposit,2.3,0,1,1,4,9,3,1,WhatsApp,0,France
86,15805254,Ndukaku,Female,75,Northern Cape,Springbok,Urban,Degree,Self-Employed,English,Capitec,Pensioner,10,652,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,2350852.88,195904.41,Direct Deposit,4.8,1,1,1,1,4,2,0,Email,0,Spain
87,15762418,Gant,Male,22,North West,Potchefstroom,Suburban,Degree,Pensioner,Afrikaans,Absa,Savings,3,750,Very Good,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2494477.31,2637188.68,219765.72,Direct Deposit,6.9,0,1,1,2,8,1,0,SMS,1,Spain
